ammi
amy
aunt
aunty
baba
babe
baby
babyboy
babygirl
baccha
bacha
bapu
behen
behna
beta
beti
betterhalf
bhai
bhrata
biwi
boo
bro
broad
brother
brotherinlaw
brother-in-law
bruh
bua
buji
chacha
chacha
chachi
chachi
chachu
cousin
cousin bro
cousin sis
cozy
cuz
dad
dada
daddy
dadi
dadu
daughter
father
fatherinlaw
father-in-law
folks
fthr
fufa
fufad
fufi
fufu
granddad
granddaddy
grandfather
grandfatherinlaw
grandfather-in-law
grandmother
grandmotherinlaw
grandmother-in-law
grany
hbd
honey
hsubnd
hubby
husband
jaan
jija
jiju
junior
kid
laadu
ladka
ladki
love
lovey
ma
maa
maami
magu
mama
mamu
massad
massi
mata
mataji
matashri
meri jaan
mom
momz
mother
motherinlaw
mother-in-law
mumma
mummy
nana
nani
nanu
nice
papa
parent
parents
pati
pati dev
pita
pitaji
pitashri
pops
puttar
putter
puttr
sis
sissy
sister
sisterinlaw
sister-in-law
sistr
son
soulmate
spouse
spouse
stepbrother
stepfather
stepmother
stepsister
sweetheart
taayi
tahu
uncle
uncle ji
unclee
wife
wifey
