brother
bro
bruh
bhai
broad
sister
sis
sissy
behen
behna
sistr
father
dad
daddy
papa
pops
bapu
fthr
mother
mom
mummy
mumma
ma
maa
momz
ammi
amy
wife
wifey
biwi
jaan
meri jaan
spouse
husband
hubby
pati
hbd
baby
sweetheart
pati dev
betterhalf
hsubnd
laadu
son
beta
puttar
puttr
putter
ladka
junior
babyboy
daughter
beti
ladki
babygirl
uncle
chacha
mama
mamu
uncle ji
unclee
aunt
aunty
chachi
maami
taayi
cousin
cuz
cozy
cousin sis
cousin bro
grandfather
dada
nana
dadu
nanu
grandmother
dadi
nani
ammamma
spouse
brother-in-law
sister-in-law
brotherinlaw
sisterinlaw
father-in-law
mother-in-law
fatherinlaw
motherinlaw
grandfather-in-law
grandmother-in-law
grandmotherinlaw
grandfatherinlaw
granddaddy
granddad
grany
fufu
fufad
stepmother
stepfather
stepbrother
stepsister
fufa
fufi
massi
massad
folks
parent
parents
nice
nephew
kid
chacha
chachu
chachi
bua
buji
tahu
baba
jija
jiju
magu
bacha
baccha
bhrata
honey
love
lovey
boo
babe
soulmate
mata
pita
mataji
pitaji
matashri
pitashri
